# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0025        	((6.602719e+03 1.297817e+00 -9.740723e-16) (7.906055e+00 5.220414e-04 -7.221756e-19)) ((7.723365e-18 -3.057087e-16 -4.004419e-04) (2.406101e-18 2.163620e-18 -2.075422e-05))
0.005         	((1.826019e+01 -1.246223e+00 -5.451279e-19) (7.700726e+00 -1.931489e-03 -1.942010e-18)) ((1.020992e-22 -6.677087e-19 7.049112e-07) (1.005240e-18 4.033466e-19 -5.511283e-05))
0.0075        	((1.654038e+01 -1.285148e+00 -4.053455e-19) (7.502444e+00 -4.197003e-03 -2.074876e-18)) ((-5.627883e-21 -6.121542e-19 7.399660e-07) (1.096033e-18 4.023450e-19 -1.030594e-04))
0.01          	((1.604144e+01 -1.270397e+00 -3.799233e-19) (7.312363e+00 -6.353612e-03 -2.175449e-18)) ((-4.467366e-21 -5.940938e-19 7.753643e-07) (1.186638e-18 3.959327e-19 -1.624956e-04))
0.0125        	((1.558034e+01 -1.266865e+00 -3.559474e-19) (7.130049e+00 -8.308430e-03 -2.234076e-18)) ((-3.705768e-21 -5.776893e-19 8.142014e-07) (1.253905e-18 3.844703e-19 -2.315134e-04))
0.015         	((1.515320e+01 -1.266772e+00 -3.333864e-19) (6.955106e+00 -1.005193e-02 -2.262203e-18)) ((-2.987364e-21 -5.626600e-19 8.514052e-07) (1.298688e-18 3.705000e-19 -3.084434e-04))
0.0175        	((1.475501e+01 -1.268074e+00 -3.123569e-19) (6.787184e+00 -1.159043e-02 -2.271134e-18)) ((-2.210159e-21 -5.487209e-19 8.856426e-07) (1.325394e-18 3.560920e-19 -3.918796e-04))
0.02          	((1.438200e+01 -1.269009e+00 -2.929378e-19) (6.625964e+00 -1.294700e-02 -2.269155e-18)) ((-1.440079e-21 -5.356417e-19 9.171401e-07) (1.339051e-18 3.425649e-19 -4.807007e-04))
0.0225        	((1.403117e+01 -1.268579e+00 -2.750237e-19) (6.471152e+00 -1.415657e-02 -2.261587e-18)) ((-7.429462e-22 -5.233048e-19 9.448197e-07) (1.344676e-18 3.305393e-19 -5.740711e-04))
0.025         	((1.370022e+01 -1.268527e+00 -2.584196e-19) (6.322471e+00 -1.523158e-02 -2.249329e-18)) ((-1.454971e-22 -5.116451e-19 9.716725e-07) (1.343704e-18 3.200989e-19 -6.713156e-04))
0.0275        	((1.338730e+01 -1.267789e+00 -2.429522e-19) (6.179657e+00 -1.619293e-02 -2.234387e-18)) ((3.720437e-22 -5.006161e-19 9.960839e-07) (1.338686e-18 3.111440e-19 -7.719257e-04))
0.03          	((1.309095e+01 -1.267050e+00 -2.284435e-19) (6.042458e+00 -1.705570e-02 -2.217143e-18)) ((8.140446e-22 -4.901835e-19 1.018912e-06) (1.330472e-18 3.034358e-19 -8.755143e-04))
0.0325        	((1.280990e+01 -1.266180e+00 -2.147722e-19) (5.910635e+00 -1.783331e-02 -2.197967e-18)) ((1.202007e-21 -4.803054e-19 1.040221e-06) (1.319844e-18 2.966566e-19 -9.817918e-04))
0.035         	((1.254307e+01 -1.265226e+00 -2.018413e-19) (5.783954e+00 -1.853673e-02 -2.177029e-18)) ((1.550054e-21 -4.709426e-19 1.060224e-06) (1.307289e-18 2.904992e-19 -1.090545e-03))
0.0375        	((1.228950e+01 -1.264230e+00 -1.895714e-19) (5.662194e+00 -1.917520e-02 -2.154501e-18)) ((1.867465e-21 -4.620589e-19 1.079011e-06) (1.293197e-18 2.847146e-19 -1.201617e-03))
0.04          	((1.204836e+01 -1.263216e+00 -1.778994e-19) (5.545140e+00 -1.975650e-02 -2.130568e-18)) ((2.161539e-21 -4.536210e-19 1.096609e-06) (1.277879e-18 2.791328e-19 -1.314901e-03))
0.0425        	((1.181885e+01 -1.262217e+00 -1.667726e-19) (5.432588e+00 -2.028733e-02 -2.105418e-18)) ((2.436585e-21 -4.455980e-19 1.113065e-06) (1.261592e-18 2.736691e-19 -1.430321e-03))
0.045         	((1.160011e+01 -1.262364e+00 -1.561436e-19) (5.324340e+00 -2.076073e-02 -2.080497e-18)) ((2.690238e-21 -4.379606e-19 1.130184e-06) (1.243277e-18 2.683194e-19 -1.547792e-03))
0.0475        	((1.139167e+01 -1.261501e+00 -1.459801e-19) (5.220209e+00 -2.119295e-02 -2.053698e-18)) ((2.934794e-21 -4.306852e-19 1.144563e-06) (1.225403e-18 2.629275e-19 -1.667287e-03))
